X,Y,Z,roll,pitch,yaw,img,path,camID
177033.3836,2535901.1381,46.6188,-79.406943965,2.563484029,148.024098114,200721_022556053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177035.6505,2535898.9276,46.6278,-79.700944193,2.48323517,143.117861145,200721_022557053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177037.9895,2535896.0427,46.6351,-79.803790084,2.430402354,134.411964911,200721_022558053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177040.1512,2535892.3648,46.6482,-79.595549511,2.488482501,128.913576169,200721_022559053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177042.257,2535888.1983,46.679,-79.405781046,2.439440446,127.21110301899999,200721_022600053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177044.4514,2535883.5952,46.6973,-79.385639252,2.25288197,126.432043,200721_022601053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177046.7762,2535878.6246,46.7057,-79.160623657,2.070458415,126.095905323,200721_022602053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177049.2365,2535873.2792,46.6909,-79.25320366300001,1.785253559,125.963118529,200721_022603053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177051.8419,2535867.5087,46.6595,-79.981504261,1.996872908,125.911640644,200721_022604053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177054.622,2535861.4378,46.6475,-79.925557335,2.059263112,125.891244165,200721_022605053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177057.4975,2535855.1338,46.6418,-79.817020057,2.310778431,125.979082678,200721_022606053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177060.5244,2535848.5367,46.6724,-79.201995715,1.722859089,125.77181845700001,200721_022607053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177063.5868,2535841.8034,46.6492,-78.990348634,2.14529771,125.62282016700001,200721_022608053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177066.5534,2535835.2158,46.6551,-79.340543532,2.059096827,125.67031191299999,200721_022609053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177069.3728,2535828.9539,46.6652,-79.768211442,1.6956959,125.984688464,200721_022610053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177072.0938,2535823.0909,46.6447,-79.333171049,1.8926981969999999,126.44315561100001,200721_022611053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
